,InstrumentTicker,InstrumentLongName,bicsSector,bicsIndustry,bicsSubIndustry,Momentum,Size,Quality,Value,Volatility,Yield
95,DHI,D R HORTON INC COM,Consumer Discretionary,Home & Office Products,Homebuilders,-0.47335139721912517,-0.007909886382301147,-0.051920060511252523,0.12090733000840494,-0.13648876941678995,0.20819358951682995
96,AMAT,APPLIED MATLS INC COM,Technology,Semiconductors,Semiconductor Mfg,-0.595836534632126,0.14983339046934094,-0.9784758772872767,-0.3824050361037391,0.12989041906954765,-0.10670370811627183
99,ROP,ROPER TECHNOLOGIES INC,Industrials,Electrical Equipment,Measurement Instruments,0.5469935421230993,0.21765216473756274,0.8962545106598837,0.2949995803386804,-1.044626295561193,-0.45192611526492804
100,MMC,MARSH & MCLENNAN COS COM,Financials,Insurance,Insurance Brokers,0.14252084133152293,0.24733624445929828,-0.46292841866144313,-0.0878581154205374,-0.042885816362954486,0.24394813212637298
101,CCI,CROWN CASTLE INTL CO COM,Financials,Real Estate,REIT,2.4442749109127133,0.6449160418480687,-0.8309460330697248,2.17359713590207,-1.3945851291560052,-1.2738270688901323
107,PSA,PUBLIC STORAGE COM,Financials,Real Estate,REIT,0.4212817485103345,0.01110491774646577,2.2203082092435347,-1.3959603170572792,-2.2978097139826916,0.40892552816392125
109,STZ,CONSTELLATION BRANDS CL A,Consumer Staples,Consumer Products,Beverages,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
110,AMT,AMERICAN TOWER CORP NEW,Financials,Real Estate,REIT,1.4282050210094146,1.5768199136050265,0.2025605210858559,2.127870643813263,-1.0191849219942068,-2.6346237454620987
111,BAX,BAXTER INTL INC COM,Health Care,Medical Equipment & Devices,Health Care Supplies,0.0973179930005348,0.27965048804771514,-0.5230192944654086,-0.805238255496439,-0.4942420376871348,0.6144231937827545
113,ARE,ALEXANDRIA REAL ESTA COM,Financials,Real Estate,REIT,1.1876092153767355,-0.15327809479405677,-0.8952797208562908,0.6770984851410958,0.07479491977981967,-1.6987833409077135
117,AVB,AVALONBAY CMNTYS INC COM,Financials,Real Estate,REIT,-1.63193501922772,-0.18227904144763765,0.39115225058981967,-1.333400349134892,0.17079683637781767,0.4265147534350486
